x,y
0.339540316,0.492157649
0.310529187,0.147747618
0.818689368,0.12416762
0.944560903,0.92357248
0.651949162,0.517569321
0.766594624,0.78617184
0.064044934,0.630291964
0.656947694,0.768843475
0.23661889,0.941924197
0.600737416,0.718168653
0.774632727,0.03827738
0.253362217,0.977458964
0.93824368,0.519885084
0.589346233,0.594061223
0.876947333,0.105475401
0.856233659,0.585792304
0.54929852,0.371683279
0.507554319,0.488669414
0.920658732,0.394299653
0.235408199,0.739939438
0.465944864,0.326665813
0.505904393,0.720286547
0.410492459,0.411239243
0.417104707,0.795327451
0.507604512,0.023953189
0.838901498,0.094655907
0.758626722,0.407736344
0.006843344,0.964709125
0.204375094,0.256424022
x,1.3
y,1.3
angle,13.3
